branch_id,brand,branch,bill_no,ref_no,quanty,price_paid,raw_price,cost,posted,emp_no,del_code,prc_adj,two4one,disc_no,prc_lvl,prc_lvl0,iscoupon,item_adj,vat_adj,disc_adj,pricemult,invmult,gd_no,send_time,adj_no,refundflag,cou_rec,coupitem,hash_stat,ord_date,ord_time,spec_inst
11,Manam,Manam Greenhills,15964,MNM0000288,1,288.0,257.14,257.14,False,101112,0,False,False,nan,0,0,False,0,-30.86,0.0,1,1,0,10:46:15.76,0,False,0,False,0,2025-08-01,10:46:15.76,0.0
11,Manam,Manam Greenhills,15964,MNMMOD0007,1,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:46:15.76,0,False,0,False,0,2025-08-01,10:46:15.76,0.0
11,Manam,Manam Greenhills,15964,MNMMOD0008,1,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:46:15.76,0,False,0,False,0,2025-08-01,10:46:15.76,0.0
11,Manam,Manam Greenhills,15964,MNM0000291,4,268.0,239.29,957.16,False,101112,0,False,False,nan,0,0,False,0,-114.86,0.0,1,1,0,10:46:15.76,0,False,0,False,0,2025-08-01,10:46:15.76,0.0
11,Manam,Manam Greenhills,15964,MNMMOD0007,4,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:46:15.76,0,False,0,False,0,2025-08-01,10:46:15.76,0.0
11,Manam,Manam Greenhills,15964,MNMMOD0008,4,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:46:15.76,0,False,0,False,0,2025-08-01,10:46:15.76,0.0
11,Manam,Manam Greenhills,15964,MNM0000282,1,288.0,257.14,257.14,False,101112,0,False,False,nan,0,0,False,0,-30.86,0.0,1,1,0,10:46:15.76,0,False,0,False,0,2025-08-01,10:46:15.76,0.0
11,Manam,Manam Greenhills,15964,MNMMOD0007,1,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:46:15.76,0,False,0,False,0,2025-08-01,10:46:15.76,0.0
11,Manam,Manam Greenhills,15964,MNMMOD0008,1,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:46:15.76,0,False,0,False,0,2025-08-01,10:46:15.76,0.0
11,Manam,Manam Greenhills,15965,MNM0000002,1,225.0,200.89,200.89,False,101112,0,False,False,GRABPWD 60,0,0,False,0,-20.82,30.68,1,1,0,10:49:50.78,0,False,0,False,0,2025-08-01,10:49:50.78,0.0
11,Manam,Manam Greenhills,15965,MNM0000067,1,215.0,191.96,191.96,False,101112,0,False,False,GRABPWD 60,0,0,False,0,-19.89,29.32,1,1,0,10:49:50.78,0,False,0,False,0,2025-08-01,10:49:50.78,0.0
